index,k__Metazoa;p__Chordata;c__Actinopteri;o__Cichliformes;f__Cichlidae;g__Thysochromis;s__ansorgii,k__Metazoa;p__Chordata;c__Actinopteri;o__Carangiformes;f__Carangidae;g__Seriola;s__rivoliana,k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__harengus,k__Metazoa;p__Chordata;c__Actinopteri;o__Beloniformes;f__Hemiramphidae;g__Hyporhamphus;s__yuri,k__Metazoa;p__Chordata;c__Actinopteri;o__Beloniformes;f__Exocoetidae;g__Cheilopogon;s__antoncichi,k__Metazoa;p__Chordata;c__Actinopteri;o__Carangiformes;f__Carangidae;g__Elagatis;s__bipinnulata,k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__chalcogrammus,k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Jenkinsia;s__lamprotaenia,k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Harengula;s__jaguana,k__Metazoa;p__Chordata;c__Actinopteri;o__Carangiformes;f__Carangidae;g__Carangoides;s__bartholomaei,k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Engraulidae;g__Anchoa;s__hepsetus,k__Metazoa;p__Chordata;c__Actinopteri;o__Gobiiformes;f__Gobiidae;g__Ctenogobius;s__boleosoma,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Serranidae;g__Cephalopholis;s__leopardus,k__Metazoa;p__Chordata;c__Actinopteri;o__Beloniformes;f__Hemiramphidae;g__Hemiramphus;s__lutkei,k__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Kyphosidae;g__Kyphosus;s__bigibbus,k__Metazoa;p__Chordata;c__Actinopteri;o__Syngnathiformes;f__Mullidae;g__Mulloidichthys;s__vanicolensis,k__Metazoa;p__Chordata;c__Actinopteri;o__Euteleosteomorpha;f__Pomacentridae;g__Stegastes;s__planifrons,k__Metazoa;p__Chordata;c__Actinopteri;o__Carangiformes;f__Coryphaenidae;g__Coryphaena;s__hippurus,k__Metazoa;p__Chordata;c__Actinopteri;o__Uranoscopiformes;f__Ammodytidae;g__Hyperoplus;s__lanceolatus,k__Metazoa;p__Chordata;c__Actinopteri;o__Atheriniformes;f__Atherinidae;g__Craterocephalus;s__fluviatilis,k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Merlangius;s__merlangus,k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Engraulidae;g__Engraulis;s__encrasicolus,k__Metazoa;p__Chordata;c__Actinopteri;o__Euteleosteomorpha;f__Polynemidae;g__Eleutheronema;s__rhadinum,k__Metazoa;p__Chordata;c__Actinopteri;o__Beloniformes;f__Belonidae;g__Tylosurus;s__crocodilus crocodilus,k__Metazoa;p__Chordata;c__Actinopteri;o__Beloniformes;f__Hemiramphidae;g__Hemiramphus;s__far,k__Metazoa;p__Chordata;c__Actinopteri;o__Euteleosteomorpha;f__Pomacentridae;g__Abudefduf;s__saxatilis,k__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Kyphosidae;g__Kyphosus;s__incisor,k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Engraulidae;g__Anchoa;s__delicatissima,k__Metazoa;p__Chordata;c__Actinopteri;o__Beloniformes;f__Exocoetidae;g__Exocoetus;s__monocirrhus,k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Lotidae;g__Brosme;s__brosme,k__Metazoa;p__Chordata;c__Actinopteri;o__Carangiformes;f__Carangidae;g__Trachinotus;s__mookalee,k__Metazoa;p__Chordata;c__Actinopteri;o__Beloniformes;f__Hemiramphidae;g__Hyporhamphus;s__quoyi,k__Metazoa;p__Chordata;c__Actinopteri;o__Beloniformes;f__Exocoetidae;g__Hirundichthys;s__oxycephalus,k__Metazoa;p__Chordata;c__Actinopteri;o__Gerreiformes;f__Gerreidae;g__Gerres;s__cinereus,k__Metazoa;p__Chordata;c__Actinopteri;o__Beloniformes;f__Exocoetidae;g__Cheilopogon;s__doederleinii,k__Metazoa;p__Chordata;c__Actinopteri;o__Cyprinodontiformes;f__Poeciliidae;g__Gambusia;s__affinis,k__Metazoa;p__Chordata;c__Actinopteri;o__Beloniformes;f__Exocoetidae;g__Exocoetus;s__volitans,Well,Species,SampleType,Colony
LETE_2022_CR12,1563.0,0.0,0.0,3888.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G2,LETE,SAMPLE,CR
LETE_2022_CR14,20.0,0.0,0.0,1395.0,4054.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,A3,LETE,SAMPLE,CR
LETE_2022_CR15,24.0,0.0,0.0,5.0,5463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,B3,LETE,SAMPLE,CR
LETE_2022_CR16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C3,LETE,SAMPLE,CR
LETE_2022_CR18,133.0,0.0,0.0,238.0,47.0,0.0,0.0,5.0,4108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,969.0,E3,LETE,SAMPLE,CR
LETE_2022_CR2,4012.0,0.0,0.0,478.0,0.0,0.0,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D1,LETE,SAMPLE,CR
LETE_2022_CR21,35.0,0.0,0.0,5377.0,32.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H3,LETE,SAMPLE,CR
LETE_2022_CR22,40.0,0.0,0.0,0.0,2653.0,0.0,0.0,0.0,2797.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4,LETE,SAMPLE,CR
LETE_2022_CR24,0.0,3439.0,0.0,0.0,0.0,1842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,C4,LETE,SAMPLE,CR
LETE_2022_CR25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,E4,LETE,SAMPLE,CR
LETE_2022_CR26,5498.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F4,LETE,SAMPLE,CR
LETE_2022_CR27,5160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,0.0,G4,LETE,SAMPLE,CR
